disease,model,term,coef,odds_ratio,coef_ci_low,coef_ci_high,or_ci_low,or_ci_high,bootstrap_valid_draws
acute pancreatitis,model_1_moon_only_circular,_moon_sin,-0.22362334521229263,0.7996162569476827,-0.5294178276889121,0.09790489355833476,0.5889477389595819,1.1028578912308478,2000
acute pancreatitis,model_1_moon_only_circular,_moon_cos,-0.06644548011704048,0.9357139294796086,-0.4048913973058944,0.26600628936515763,0.6670492502705261,1.304743264667951,2000
acute pancreatitis,model_2_plus_sex_neuter,_moon_sin,-0.2313300397268825,0.7934775437034216,-0.53928013570559,0.07803586688793852,0.5831679030611544,1.081161435870734,2000
acute pancreatitis,model_2_plus_sex_neuter,_moon_cos,0.007088704547242709,1.007113888886265,-0.319050806341328,0.34054936927460433,0.7268386203571976,1.405719637652336,2000
acute pancreatitis,model_2_plus_sex_neuter,sex_neuter_female_neutered,0.4982490019488542,1.6458368889785941,-0.09866761611782664,1.1095985696244501,0.9060438123394302,3.033140555261017,2000
acute pancreatitis,model_2_plus_sex_neuter,sex_neuter_male_intact,-0.45591746905733876,0.6338661485106218,-1.1675119898599318,0.21050146186881802,0.311140098775525,1.2342968576009534,2000
acute pancreatitis,model_2_plus_sex_neuter,sex_neuter_male_neutered,0.6205150242812951,1.8598856815077447,0.045718835721032906,1.191010459139305,1.046780052418648,3.290404347296553,2000
acute pancreatitis,model_2_plus_sex_neuter,sex_neuter_unknown_intact,-0.2577470395438555,0.7727906928701365,-0.6948046982466868,0.0,0.4991719276185231,1.0,2000
acute pancreatitis,model_3_plus_seasonality,_moon_sin,-0.18873346973826768,0.8280071662539402,-0.5102609212788235,0.11961311502043193,0.6003389171769803,1.1270607243539656,2000
acute pancreatitis,model_3_plus_seasonality,_moon_cos,-0.0804103110824843,0.9227376592143756,-0.4423949796754757,0.24989717583681342,0.6424958125438524,1.283893394636405,2000
acute pancreatitis,model_3_plus_seasonality,_season_sin,0.25092742056121575,1.2852168006318911,0.03352154079079081,0.48624513643804457,1.0340897185966558,1.626198587884061,2000
acute pancreatitis,model_3_plus_seasonality,_season_cos,-0.0647185966885332,0.9373311943703126,-0.28587368810457214,0.17059135041749213,0.7513575153452057,1.1860059891276848,2000
acute pancreatitis,model_4_full,_moon_sin,-0.20729054249861234,0.8127834675392235,-0.5542614923448095,0.09895772737958392,0.5744963745421626,1.1040196287697417,2000
acute pancreatitis,model_4_full,_moon_cos,-0.009890156712964128,0.9901585900502018,-0.12071101315587801,0.10031011205413545,0.88629004875206,1.1055136980465763,2000
acute pancreatitis,model_4_full,_moon_fraction,0.0027289683080418807,1.0027326953315936,-0.16248597773728415,0.16335306982847006,0.8500280094578951,1.177452339202932,2000
acute pancreatitis,model_4_full,_season_sin,0.22455753943465545,1.2517687353412423,-0.010435464041361576,0.4768861082967636,0.9896187965048359,1.6110499483825016,2000
acute pancreatitis,model_4_full,_season_cos,0.008869610409227964,1.008909061957324,-0.23746053317219823,0.24685670867082415,0.7886280150129573,1.2799956873535672,2000
acute pancreatitis,model_4_full,sex_neuter_female_neutered,0.4794358276016718,1.6151629147637323,-0.11134069504899494,1.0902935530927833,0.894633899661384,2.975147308080074,2000
acute pancreatitis,model_4_full,sex_neuter_male_intact,-0.40914296792076393,0.664219263486598,-1.1528913216402068,0.249789722939899,0.3157225928616927,1.2837554439835535,2000
acute pancreatitis,model_4_full,sex_neuter_male_neutered,0.6277478046698624,1.8733865918936958,0.08599850561550514,1.2355740198351854,1.0898046997166662,3.440352784756038,2000
acute pancreatitis,model_4_full,sex_neuter_unknown_intact,-0.21524009985350223,0.8063478129415624,-0.5770349397475223,0.0,0.5615609625881531,1.0,2000
parvovirus enteritis,model_1_moon_only_circular,_moon_sin,0.21105265622242353,1.2349773825930732,-0.21721041106032704,0.6625972078790614,0.8047606209536788,1.9398239235103492,2000
parvovirus enteritis,model_1_moon_only_circular,_moon_cos,-0.009191821028734627,0.9908502946195616,-0.48326751043884525,0.47368268949747994,0.6167648102781069,1.6058973380819128,2000
parvovirus enteritis,model_2_plus_sex_neuter,_moon_sin,0.3421991169747889,1.4080406343947611,-0.1574579816687454,0.8375803979221172,0.8543127096487574,2.3107690655208604,2000
parvovirus enteritis,model_2_plus_sex_neuter,_moon_cos,-0.37857072947970527,0.6848395309983172,-0.9402855646625308,0.17517471268185045,0.39051630177832436,1.1914543606157757,2000
parvovirus enteritis,model_2_plus_sex_neuter,sex_neuter_female_neutered,-2.450383407003216,0.08626050727578224,-3.5679916353706944,-1.6387745748530222,0.028212457722691663,0.19421789601893202,2000
parvovirus enteritis,model_2_plus_sex_neuter,sex_neuter_male_intact,0.3021784516738222,1.3528026150617727,-0.43685207069391807,1.1644139508679097,0.6460669965844925,3.2040446053148863,2000
parvovirus enteritis,model_2_plus_sex_neuter,sex_neuter_male_neutered,-2.289652508249237,0.10130165722870361,-3.320385161377733,-1.4521962053909225,0.036138909760838236,0.23405568885218972,2000
parvovirus enteritis,model_2_plus_sex_neuter,sex_neuter_unknown_intact,0.6105068730327727,1.8413645002883656,0.0,1.3446402340126453,1.0,3.836805939990976,2000
parvovirus enteritis,model_3_plus_seasonality,_moon_sin,-0.05169104201077869,0.9496222148944777,-0.47887344905534424,0.4177027927698474,0.6194808756224778,1.5184693072738888,2000
parvovirus enteritis,model_3_plus_seasonality,_moon_cos,0.052288784973955754,1.0536799855280232,-0.4198819907014859,0.544454486878011,0.657124362024615,1.723667842435321,2000
parvovirus enteritis,model_3_plus_seasonality,_season_sin,-0.641064764147043,0.5267312807705541,-1.078382728260794,-0.28674495585755794,0.3401451882484162,0.7507031668688785,2000
parvovirus enteritis,model_3_plus_seasonality,_season_cos,0.3590091821096411,1.4319099494654481,0.03859438096084341,0.7110163062743546,1.0393488184691304,2.0360594675137027,2000
parvovirus enteritis,model_4_full,_moon_sin,0.17837834703743072,1.1952774653836433,-0.3371560504898555,0.6251585969064993,0.7137974427705557,1.8685422789588686,2000
parvovirus enteritis,model_4_full,_moon_cos,-0.060581640078869965,0.9412169248576875,-0.25318630966195693,0.12511413159101606,0.776323231830419,1.1332777884831202,2000
parvovirus enteritis,model_4_full,_moon_fraction,0.12148657615905507,1.129174207968452,-0.15488567969778191,0.3981956209986868,0.8565130887220421,1.4891353075523799,2000
parvovirus enteritis,model_4_full,_season_sin,-0.5091848659843816,0.6009852627366822,-0.9563584858734153,-0.20041795452534217,0.3842897376122504,0.8183886323551286,2000
parvovirus enteritis,model_4_full,_season_cos,0.018558842667910094,1.0187321283222666,-0.3723370103782145,0.4855258197588645,0.6891219621328754,1.625029256726259,2000
parvovirus enteritis,model_4_full,sex_neuter_female_neutered,-2.4819459444243512,0.08358042438170482,-3.582518658158716,-1.6710786982105381,0.027805577242904982,0.18804411334771923,2000
parvovirus enteritis,model_4_full,sex_neuter_male_intact,0.057151455524870325,1.0588161618096679,-0.7102613984485464,0.9906699076344413,0.4915156992258633,2.6930379548842733,2000
parvovirus enteritis,model_4_full,sex_neuter_male_neutered,-2.350602088268744,0.09531175884446194,-3.3348372446913777,-1.4828681657960232,0.0356203831460703,0.2269857211740739,2000
parvovirus enteritis,model_4_full,sex_neuter_unknown_intact,0.42112247559194005,1.523670879474368,0.0,1.0966620737543766,1.0,2.9941550565592596,2000
