disease,feature_block,feature,mean_abs_shap,std_abs_shap,n_folds
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2006-06-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2006-06-19,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2006-07-19,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2006-08-10,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2006-09-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2006-10-10,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2006-12-21,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2007-01-01,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2007-02-17,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2007-04-01,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2007-04-14,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2007-05-04,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2007-05-06,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2007-05-19,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2007-06-14,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2007-07-01,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2007-08-01,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2007-08-02,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2007-09-05,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2008-01-01,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2008-03-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2008-04-04,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2008-04-30,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2008-06-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2008-07-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2008-08-15,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2008-09-13,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2009-01-01,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2009-04-01,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2009-04-04,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2009-05-01,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2009-05-13,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2009-06-25,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2009-07-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2009-07-10,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2009-08-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2009-08-03,0.0,0.0,4
