disease,perm_idx,perm_mean_auc
acute gastroenteritis,115,0.4398671964148453
acute gastroenteritis,116,0.4339965817260351
acute gastroenteritis,117,0.5745805653797907
acute gastroenteritis,118,0.5216185342120717
acute gastroenteritis,119,0.48411105467339277
acute gastroenteritis,120,0.49389346214676344
acute gastroenteritis,121,0.4749251919995312
acute gastroenteritis,122,0.4883085650322053
acute gastroenteritis,123,0.43607991766083404
acute gastroenteritis,124,0.49362070526216184
acute gastroenteritis,125,0.46284940377744244
acute gastroenteritis,126,0.5349187447772353
acute gastroenteritis,127,0.4806665743174895
acute gastroenteritis,128,0.5906133480932734
acute gastroenteritis,129,0.5324063995968757
acute gastroenteritis,130,0.35656763662872526
acute gastroenteritis,131,0.5732974686007898
acute gastroenteritis,132,0.5383488152176911
acute gastroenteritis,133,0.434055310649571
acute gastroenteritis,134,0.5321345528485939
acute gastroenteritis,135,0.550500521319301
acute gastroenteritis,136,0.511441038745621
acute gastroenteritis,137,0.5682964404568178
acute gastroenteritis,138,0.49742131062951495
acute gastroenteritis,139,0.491894419306184
acute gastroenteritis,140,0.6239318009324126
acute gastroenteritis,141,0.4978974102015405
acute gastroenteritis,142,0.5866768922736643
acute gastroenteritis,143,0.4207698133269136
acute gastroenteritis,144,0.5007126468302939
acute gastroenteritis,145,0.5086857432861873
acute gastroenteritis,146,0.521369426580644
acute gastroenteritis,147,0.5198850172066996
acute gastroenteritis,148,0.4981524584192652
acute gastroenteritis,149,0.5141688511804581
acute gastroenteritis,150,0.4062028212295508
acute gastroenteritis,151,0.5016477338521156
acute gastroenteritis,152,0.415525480575795
acute gastroenteritis,153,0.46598123305266165
acute gastroenteritis,154,0.5503231620986722
acute gastroenteritis,155,0.49927616029576816
acute gastroenteritis,156,0.5390964721463087
acute gastroenteritis,157,0.4975015414091044
acute gastroenteritis,158,0.6261286276227034
acute gastroenteritis,159,0.5951569253791477
acute gastroenteritis,160,0.5741194409461716
acute gastroenteritis,161,0.4530495139180175
acute gastroenteritis,162,0.6285218293237161
acute gastroenteritis,163,0.5296783216783216
acute gastroenteritis,164,0.41892274687191894
acute gastroenteritis,165,0.6046616161616163
acute gastroenteritis,166,0.48630806497797663
acute gastroenteritis,167,0.4787095232069222
acute gastroenteritis,168,0.5267694161077874
acute gastroenteritis,169,0.43775691533628036
acute gastroenteritis,170,0.5621153817837491
acute gastroenteritis,171,0.5740739632207885
acute gastroenteritis,172,0.47753479786976516
acute gastroenteritis,173,0.48522874698258117
acute gastroenteritis,174,0.5654050278245617
acute gastroenteritis,175,0.5034080715203164
acute gastroenteritis,176,0.5606777471706226
acute gastroenteritis,177,0.5744358816965099
acute gastroenteritis,178,0.4902755241290655
acute gastroenteritis,179,0.443621746883025
acute gastroenteritis,180,0.5113088357503859
acute gastroenteritis,181,0.4806511437040596
acute gastroenteritis,182,0.48983682560479946
acute gastroenteritis,183,0.5214270117483965
acute gastroenteritis,184,0.5354498778843644
acute gastroenteritis,185,0.4070965061634471
acute gastroenteritis,186,0.5082341101396171
acute gastroenteritis,187,0.538007060056727
acute gastroenteritis,188,0.5469034822720297
acute gastroenteritis,189,0.62092446761648
acute gastroenteritis,190,0.5521728067850515
acute gastroenteritis,191,0.4889464481444752
acute gastroenteritis,192,0.5138436076167909
acute gastroenteritis,193,0.4643477338987543
acute gastroenteritis,194,0.543065824354524
acute gastroenteritis,195,0.48818022709809605
acute gastroenteritis,196,0.5786726541432424
acute gastroenteritis,197,0.5289819716978
acute gastroenteritis,198,0.5962896005779822
acute gastroenteritis,199,0.37124785278746864
acute gastroenteritis,200,0.39030385300973536
acute pancreatitis,1,0.4475225494436021
acute pancreatitis,2,0.45761035910158715
acute pancreatitis,3,0.47814426860119597
acute pancreatitis,4,0.5703931714399826
acute pancreatitis,5,0.4662820975399198
acute pancreatitis,6,0.4568153948462035
acute pancreatitis,7,0.4673485676866339
acute pancreatitis,8,0.460539620838148
acute pancreatitis,9,0.5171481866722141
acute pancreatitis,10,0.4728978336121193
acute pancreatitis,11,0.5270364831514657
acute pancreatitis,12,0.5336545556306878
acute pancreatitis,13,0.5107420578980023
acute pancreatitis,14,0.4573830234805844
acute pancreatitis,15,0.5408100624625634
acute pancreatitis,16,0.47684917074390754
acute pancreatitis,17,0.4779375418956543
acute pancreatitis,18,0.5586114412217714
acute pancreatitis,19,0.47980811159076586
acute pancreatitis,20,0.5011005379837149
acute pancreatitis,21,0.5491736873850491
acute pancreatitis,22,0.5246612252280022
acute pancreatitis,23,0.5022172689892821
acute pancreatitis,24,0.5155963790150342
acute pancreatitis,25,0.42103160767757036
acute pancreatitis,26,0.5137081593388456
acute pancreatitis,27,0.5898759153018716
acute pancreatitis,28,0.5444620686687834
acute pancreatitis,29,0.46246266829865357
acute pancreatitis,30,0.47698581225487924
acute pancreatitis,31,0.4695133344721353
acute pancreatitis,32,0.5935332493694468
acute pancreatitis,33,0.48118557205053875
acute pancreatitis,34,0.4849986670653994
acute pancreatitis,35,0.4973543637829351
acute pancreatitis,36,0.5536799504050752
acute pancreatitis,37,0.5039115637896125
acute pancreatitis,38,0.5699867442727766
acute pancreatitis,39,0.4502272145417307
acute pancreatitis,40,0.4819778159715543
acute pancreatitis,41,0.530123337885422
acute pancreatitis,42,0.5163420590342788
acute pancreatitis,43,0.5112974281465255
acute pancreatitis,44,0.4687410272180337
acute pancreatitis,45,0.44034096544873497
acute pancreatitis,46,0.46957700275917913
acute pancreatitis,47,0.48337522377372
acute pancreatitis,48,0.47089623644772904
acute pancreatitis,49,0.5339220646002854
acute pancreatitis,50,0.5361906849944694
acute pancreatitis,51,0.4449179949179949
acute pancreatitis,52,0.4712116391792196
acute pancreatitis,53,0.39505104409563774
acute pancreatitis,54,0.46138271698376226
acute pancreatitis,55,0.5305066763919271
acute pancreatitis,56,0.5082894902852508
acute pancreatitis,57,0.42175778342445003
acute pancreatitis,58,0.4745249584724739
acute pancreatitis,59,0.513383868104365
acute pancreatitis,60,0.4696470804819411
acute pancreatitis,61,0.44545237975677876
acute pancreatitis,62,0.42437073171791545
acute pancreatitis,63,0.5565761087355772
acute pancreatitis,64,0.44122951092728807
acute pancreatitis,65,0.49720874416526584
acute pancreatitis,66,0.4602158257393859
acute pancreatitis,67,0.5034474959663973
acute pancreatitis,68,0.4155626158099414
acute pancreatitis,69,0.5250729002166122
acute pancreatitis,70,0.5052538560250355
acute pancreatitis,71,0.5367469877396762
acute pancreatitis,72,0.5265203677340415
acute pancreatitis,73,0.4674292693012836
acute pancreatitis,74,0.4279051611019574
acute pancreatitis,75,0.46475921336106796
acute pancreatitis,76,0.524290378021372
acute pancreatitis,77,0.48409406145041195
acute pancreatitis,78,0.5728154378864317
acute pancreatitis,79,0.5175426062499922
acute pancreatitis,80,0.518934130630037
acute pancreatitis,81,0.5829553455148816
acute pancreatitis,82,0.460721653330349
acute pancreatitis,83,0.544483988533855
acute pancreatitis,84,0.4809113364836004
acute pancreatitis,85,0.42426887814291137
acute pancreatitis,86,0.4943371704143864
acute pancreatitis,87,0.5284258035129115
acute pancreatitis,88,0.4454948449168029
acute pancreatitis,89,0.5138842567663164
acute pancreatitis,90,0.5020466233445859
acute pancreatitis,91,0.5465210454056563
acute pancreatitis,92,0.5115499337276341
acute pancreatitis,93,0.4467513633367292
acute pancreatitis,94,0.4875763301928716
acute pancreatitis,95,0.5429482173992726
acute pancreatitis,96,0.48718569904820086
acute pancreatitis,97,0.3951159112454793
acute pancreatitis,98,0.5323919348739171
acute pancreatitis,99,0.5001015273686081
acute pancreatitis,100,0.5067042651014175
acute pancreatitis,101,0.5532764888544459
acute pancreatitis,102,0.5730740174335597
acute pancreatitis,103,0.5088764609041752
acute pancreatitis,104,0.48914919089912734
acute pancreatitis,105,0.4544359013318896
acute pancreatitis,106,0.5404725582128004
acute pancreatitis,107,0.4870776362461376
acute pancreatitis,108,0.5367292379473445
acute pancreatitis,109,0.5067188857554019
acute pancreatitis,110,0.47542257709934327
acute pancreatitis,111,0.4134823638893407
acute pancreatitis,112,0.4047179959053679
acute pancreatitis,113,0.4326194787646564
acute pancreatitis,114,0.5089180363007614
acute pancreatitis,115,0.5229780964901078
acute pancreatitis,116,0.45013342741548074
acute pancreatitis,117,0.6155310443685351
acute pancreatitis,118,0.45217756623019784
acute pancreatitis,119,0.4530911961166348
acute pancreatitis,120,0.5975475912119355
acute pancreatitis,121,0.4473931000857375
acute pancreatitis,122,0.48389759421598794
acute pancreatitis,123,0.46437172562504186
acute pancreatitis,124,0.5109148023324327
acute pancreatitis,125,0.49850347256309313
acute pancreatitis,126,0.5333849411505194
acute pancreatitis,127,0.4651932088947091
acute pancreatitis,128,0.49470055446580086
acute pancreatitis,129,0.45152077109020305
acute pancreatitis,130,0.5025898970448004
acute pancreatitis,131,0.5824629503288039
acute pancreatitis,132,0.5286465839188951
acute pancreatitis,133,0.4403733727550989
acute pancreatitis,134,0.3951720029359781
acute pancreatitis,135,0.5124627859127513
acute pancreatitis,136,0.49909728983503854
acute pancreatitis,137,0.5801500928557498
acute pancreatitis,138,0.5166797012969819
acute pancreatitis,139,0.48901747661714434
acute pancreatitis,140,0.605840938395139
acute pancreatitis,141,0.5610149782399372
