disease,feature_block,rank_within_group,feature,mean_abs_shap,std_abs_shap
parvovirus enteritis,clinical_only,14,num__Initial total protein concentration (in g/l),0.3488008772441132,0.20720153975292832
parvovirus enteritis,clinical_only,15,cat__regularly dewormed_no,0.3228598061292673,0.24592948952911856
parvovirus enteritis,clinical_only,16,num__K value,0.2782232991389292,0.16359257195304552
parvovirus enteritis,clinical_only,17,num__Na value,0.25840034181494226,0.18984217501392228
parvovirus enteritis,clinical_only,18,num__hospitalization time (days)__missing,0.238134853861655,0.17282388457746098
parvovirus enteritis,clinical_only,19,cat__regularly vaccinated_yes,0.20715433414472334,0.3802045974555719
parvovirus enteritis,clinical_only,20,cat__urban or rural region_small town,0.20442526970341915,0.2698113608852734
parvovirus enteritis,combined,1,num__body weight,2.0384051007298796,0.4168343493914244
parvovirus enteritis,combined,2,num__leukocyte count,1.9160514118621137,0.4143789568983776
parvovirus enteritis,combined,3,num__hospitalization time (days),1.5377254360780754,0.25086658691280456
parvovirus enteritis,combined,4,cat__neuter status_intact,1.0030175789420188,0.3488669115886312
parvovirus enteritis,combined,5,num__surface_pressure_max__day1,0.7483739742179326,0.20363411148526522
parvovirus enteritis,combined,6,num__neutrophil count (x 10^9/L),0.6643784867792346,0.3507004617988325
parvovirus enteritis,combined,7,num__wind_direction_10m_dominant__peak_7d,0.48937228661801013,0.25182362917202206
parvovirus enteritis,combined,8,num__wind_gusts_10m_max__peak_14d,0.47743176408252175,0.16450019610147598
parvovirus enteritis,combined,9,num__lymphocyte count,0.44683476813943795,0.2600835506614265
parvovirus enteritis,combined,10,num__CREA concentration ,0.4330623907317882,0.3146110682774954
parvovirus enteritis,combined,11,num__Albumin concentration (in g/l),0.3887012340489773,0.32348000739354354
parvovirus enteritis,combined,12,cat__lymphocyte count interpreatation_lower limit,0.3652189227816314,0.20332172124620615
parvovirus enteritis,combined,13,num__surface_pressure_max__mean_13d,0.32287055961779415,0.1787859715486538
parvovirus enteritis,combined,14,num__BUN concentration,0.31954290715188927,0.13171761072314994
parvovirus enteritis,combined,15,num__wind_gusts_10m_max__day1,0.2671973271957852,0.1699459987183116
parvovirus enteritis,combined,16,num__K value,0.24993578789602905,0.21361240798358325
parvovirus enteritis,combined,17,num__precipitation_sum__mean_2d,0.23800107220065483,0.1931573185359003
parvovirus enteritis,combined,18,num__precipitation_sum__mean_13d,0.21927897595513554,0.17766147239576258
parvovirus enteritis,combined,19,num__wind_direction_10m_dominant__peak_14d,0.20744136093058718,0.32367800925567547
parvovirus enteritis,combined,20,num__initial hematocrit,0.20534864790564286,0.22551881411334818
parvovirus enteritis,environmental_only,1,num__daylight_duration__day1,1.2243114309498893,0.418192096938063
parvovirus enteritis,environmental_only,2,num__wind_direction_10m_dominant__peak_7d,1.1847556762258273,0.4280306592952298
parvovirus enteritis,environmental_only,3,num__precipitation_sum__mean_2d,1.1405355172377352,0.16285429956056263
parvovirus enteritis,environmental_only,4,num__precipitation_sum__mean_7d,1.0993182848845002,0.44505203221964607
parvovirus enteritis,environmental_only,5,num__precipitation_sum__mean_13d,0.8566977846309607,0.13735272251097808
parvovirus enteritis,environmental_only,6,num__wind_direction_10m_dominant__mean_7d,0.7014693679471045,0.23186605665296312
parvovirus enteritis,environmental_only,7,num__wind_gusts_10m_max__day1,0.6968679938446807,0.36647294205833536
parvovirus enteritis,environmental_only,8,num__surface_pressure_max__day1,0.6899942307735177,0.3615147606186139
parvovirus enteritis,environmental_only,9,num__wind_direction_10m_dominant__peak_14d,0.670719079776503,0.29913199108343336
parvovirus enteritis,environmental_only,10,num__precipitation_sum__day1,0.6363230080032795,0.31812597152367644
parvovirus enteritis,environmental_only,11,num__wind_direction_10m_dominant__day1,0.6170256590125579,0.16434373047876977
parvovirus enteritis,environmental_only,12,num__surface_pressure_max__mean_13d,0.5150104618446768,0.19375514039929076
parvovirus enteritis,environmental_only,13,num__precipitation_hours__peak_14d,0.4613529584658388,0.4434883712445298
parvovirus enteritis,environmental_only,14,num__wind_direction_10m_dominant__mean_13d,0.45008601014475697,0.12622447048912708
parvovirus enteritis,environmental_only,15,num__wind_gusts_10m_max__peak_14d,0.44083185415520826,0.1590396188999527
parvovirus enteritis,environmental_only,16,num__precipitation_hours__mean_13d,0.4386034730202589,0.15463280405112353
parvovirus enteritis,environmental_only,17,num__snowfall_sum__mean_13d,0.37803083973792373,0.3934983378167415
parvovirus enteritis,environmental_only,18,num__wind_gusts_10m_max__mean_13d,0.3680139054078203,0.14388108082554044
parvovirus enteritis,environmental_only,19,num__apparent_temperature_max__day1,0.3508027239121353,0.1307709637625262
parvovirus enteritis,environmental_only,20,num__precipitation_sum__peak_14d,0.33524288899354243,0.12549934773063948
