,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
sunshine_duration__mean_3d,0.09660014466473463,-0.07302390222254791,0.05694793286707106,-0.0629792926079209,-0.0679183956907839,0.04122232456686026,-0.08079303166305998,0.02311437141020393,0.061460628298317804,0.018880115185600597,0.00653388212640432,-0.09870380873860325,0.044969674490525934,0.13132918882746994,0.21763003625190103,-0.013327146852672878,-0.11977868583411308,0.1267119870427601,0.004222980536242536,0.058712777732972524
sunshine_duration__mean_7d,0.10484320666048182,-0.06865115535414164,0.054630465783564675,-0.05091678030452462,0.008170376681901579,0.04772324668049578,-0.041340110189006116,0.0631520643391771,0.03139302329954574,0.004981890099552185,-0.002091562235268929,-0.11993854995943405,0.05617626833123957,-0.033610078943734106,0.06845532415253344,0.0010826840813166233,-0.012509856829205305,0.03966679538611855,0.07343778831777287,0.09508015564476538
sunshine_duration__mean_13d,0.11017079199059968,-0.04589690929366717,0.042112319128161144,-0.05300199400303228,0.027807151898076806,0.05157208413849132,-0.031245486733260813,0.06350717201976849,-0.04139740104488434,-0.04070419105817699,-0.02792163312191696,-0.07129312007021149,0.0008627614208387216,0.02968431497989351,-0.00913099574728752,0.007985475272162883,0.003365875244621676,0.058968699806555454,0.036022883347010495,0.10426247407599666
sunshine_duration__peak_7d,0.1106413358304317,-0.029184036736524394,0.017753596989393546,-0.068516128888021,-0.02205370447605636,0.08737181929767067,-0.054793974906695846,0.052169377124223544,-0.020707506075124085,0.0046879208007168235,0.029877922731269477,-0.03667829777815565,-0.022965311394307512,-0.05107534762651788,-0.041793844344309196,0.026248193095980588,0.04765392012231006,0.001851826930774739,0.004171130229821858,0.013771064098659488
sunshine_duration__peak_14d,0.11375332069773299,-0.006132923749005388,0.0181864390861216,-0.0719542475933795,-0.01619257969304183,0.08111655238165985,-0.040734939749382706,0.04990631781596327,-0.017044655137058877,-0.0014701506738149773,0.03534287182021505,-0.0001407521672293546,-0.04975389459077751,-0.019359371440392868,-0.08082530658344057,-0.008456332326986381,0.04110771761320438,0.01291678282693178,-0.032712979413827815,0.011254326554690407
precipitation_sum__day1,0.005306399981862146,0.12794307713352368,-0.05417558085919062,-0.007201373727502112,0.23934144271547395,0.10198125762544002,-0.03122933420125348,0.09180355636459912,0.09499697959595992,0.2740755688228348,0.13801029166739326,-0.12610992151174935,0.055210544533392636,0.3151679105136683,-0.026815114477331932,-0.17390023925302225,-0.12409215536573447,0.011511866076657872,0.05706017735352424,0.025007436370632914
precipitation_sum__mean_2d,0.004652604113702693,0.16534994845865347,-0.07716059034402935,-0.021454028927246974,0.23443816199915096,0.10941987843560631,-0.04284624142695657,0.10558295504628476,-0.03060640995495663,0.05369059814560208,-0.06897025287364152,-0.13325398867407973,0.15061762413271496,-0.13868737384835172,0.14827232016891226,0.05513899594587744,-0.025505800248463845,-0.08186302799323594,-0.021172549004158946,-0.04121864700914081
precipitation_sum__mean_3d,-0.0001496482476318287,0.17461051155802804,-0.09194721848350199,-0.02710091067685992,0.19412598418726967,0.10328613867555557,-0.046413448008240085,0.08100775158652831,-0.07745072063662035,-0.03990767643811861,-0.1401214535347228,-0.02048635654833174,0.1417913577834333,-0.2423000518477841,0.09799269674524928,0.03761508644744722,-0.04765350145172776,-0.012572672791341723,-0.06606677078131784,-0.026493779897710488
precipitation_sum__mean_7d,0.004124305354205111,0.18479576688251953,-0.14672756171889617,-0.0185389472302615,-0.0810039105786512,0.09660627073990695,-0.08652906089309308,-0.04373133336112418,-0.036476952797777594,-0.08924420378757625,-0.17425009473308084,0.052476312622497634,-0.13429491044503059,0.1826471352616166,0.008257019068321974,0.06454335056582564,-0.0443256714606078,-0.06654041917292579,-0.08406979974426855,0.03955705471681513
precipitation_sum__mean_13d,0.004477939387086535,0.14626875166530587,-0.15220045291082673,0.01779167164917277,-0.2190324805529069,0.07808225586702527,-0.06442482183423563,-0.09088130205026397,0.1759040004967437,0.04773748336464428,0.11199722020876035,-0.07058996868186457,-0.018108820297155177,-0.12364996248141276,-0.0025209571397132842,-0.02800200196353179,-0.14014324304752723,-0.10620799573391376,-0.07190145052971585,0.1302384009824579
precipitation_sum__peak_7d,0.013948306825058831,0.152696700407072,-0.15788715937402617,0.01491370033095809,-0.054533275549939586,0.10370321356767054,-0.12871776941861637,-0.03735907369305748,-0.05377748745884101,-0.17986150667266046,-0.2033295818698401,-0.07551636615144158,0.0027429081720475486,0.28666111719631926,-0.05794808168036941,0.14214971230702197,0.09092385041846873,-0.09982137001194812,0.054840381426368434,-0.0948161820121736
precipitation_sum__peak_14d,0.016040746836140037,0.09739666738587485,-0.17812841283186034,0.08159482297384342,-0.1781984645426705,0.05329758383778513,-0.11597155604929454,-0.07607402024624411,0.1802165300602252,-0.11340772730918688,0.12378355464741728,-0.26378528637850274,0.18233930563381995,-0.08589231433886943,-0.06482738095971889,-0.08648445317091234,0.15763716714735881,0.031374361263604336,0.009917281150607655,0.12894837414201646
precipitation_hours__day1,-0.008562303303010334,0.15311851894642184,-0.024628019284421876,-0.04876729890170986,0.19319266936672116,0.10900508555845413,0.07591999126272796,0.05561984071774253,0.04042918982931082,0.18370396811374204,0.27092922990637425,0.0019355109404656256,-0.1552544825324441,0.19598573052487867,-0.03401857271564582,0.005109028847439142,0.04715951927502548,0.11819333481338266,0.008783380420248621,0.007754819455928748
precipitation_hours__mean_2d,-0.019209425462290937,0.178198485860673,-0.042238309314705874,-0.07326348406121452,0.16723144027784018,0.10696789037713665,0.10858648485498891,0.06759989246894511,-0.0463143106619781,0.039093597179879085,0.06867886316942694,0.05894177086058732,-0.10919705763687511,-0.14768117609693965,0.12841315984276144,0.05454321131114655,0.08386808865039137,0.07007866801489379,-0.009491920075091434,0.0503663818656881
precipitation_hours__mean_3d,-0.02490659467016397,0.18339156369055204,-0.05368974299953582,-0.07458567682996149,0.09618819706040266,0.09156071309062437,0.08898926407283854,0.05545458674123752,-0.07728619654906896,-0.03371040354525476,-0.02453774888404899,0.18229934382898474,-0.11586887335816924,-0.2505972122755919,0.10202425778410337,-0.026791175219685194,0.014594572413206011,0.17247493575189576,-0.057196945907428604,0.06349667603364542
