model,feature_block,fold,class_label,precision,recall,f1,support
random_forest,environmental_only,5,acute flare-up of triaditis/chronic enteropathy,0.4166666666666667,0.2777777777777778,0.3333333333333333,18
random_forest,environmental_only,5,acute gastroenteritis,0.3333333333333333,0.25,0.2857142857142857,12
random_forest,environmental_only,5,acute pancreatitis,0.42424242424242425,0.5833333333333334,0.49122807017543857,24
random_forest,environmental_only,5,parvovirus enteritis,0.4444444444444444,0.4444444444444444,0.4444444444444444,9
logistic_ovr,environmental_only,1,acute flare-up of triaditis/chronic enteropathy,0.3333333333333333,0.3333333333333333,0.3333333333333333,18
logistic_ovr,environmental_only,1,acute gastroenteritis,0.2,0.25,0.2222222222222222,12
logistic_ovr,environmental_only,1,acute pancreatitis,0.2727272727272727,0.24,0.2553191489361702,25
logistic_ovr,environmental_only,1,parvovirus enteritis,0.375,0.375,0.375,8
logistic_ovr,environmental_only,2,acute flare-up of triaditis/chronic enteropathy,0.22727272727272727,0.2777777777777778,0.25,18
logistic_ovr,environmental_only,2,acute gastroenteritis,0.25,0.3333333333333333,0.2857142857142857,12
logistic_ovr,environmental_only,2,acute pancreatitis,0.3125,0.2,0.24390243902439024,25
logistic_ovr,environmental_only,2,parvovirus enteritis,0.4444444444444444,0.5,0.47058823529411764,8
logistic_ovr,environmental_only,3,acute flare-up of triaditis/chronic enteropathy,0.3333333333333333,0.2222222222222222,0.26666666666666666,18
logistic_ovr,environmental_only,3,acute gastroenteritis,0.36363636363636365,0.3333333333333333,0.34782608695652173,12
logistic_ovr,environmental_only,3,acute pancreatitis,0.48148148148148145,0.52,0.5,25
logistic_ovr,environmental_only,3,parvovirus enteritis,0.3076923076923077,0.5,0.38095238095238093,8
logistic_ovr,environmental_only,4,acute flare-up of triaditis/chronic enteropathy,0.2857142857142857,0.3333333333333333,0.3076923076923077,18
logistic_ovr,environmental_only,4,acute gastroenteritis,0.26666666666666666,0.3333333333333333,0.2962962962962963,12
logistic_ovr,environmental_only,4,acute pancreatitis,0.25,0.16,0.1951219512195122,25
logistic_ovr,environmental_only,4,parvovirus enteritis,0.36363636363636365,0.5,0.42105263157894735,8
logistic_ovr,environmental_only,5,acute flare-up of triaditis/chronic enteropathy,0.21428571428571427,0.16666666666666666,0.1875,18
logistic_ovr,environmental_only,5,acute gastroenteritis,0.23809523809523808,0.4166666666666667,0.30303030303030304,12
logistic_ovr,environmental_only,5,acute pancreatitis,0.36,0.375,0.3673469387755102,24
logistic_ovr,environmental_only,5,parvovirus enteritis,0.3333333333333333,0.1111111111111111,0.16666666666666666,9
hist_gb,environmental_only,1,acute flare-up of triaditis/chronic enteropathy,0.3157894736842105,0.3333333333333333,0.32432432432432434,18
hist_gb,environmental_only,1,acute gastroenteritis,0.5714285714285714,0.3333333333333333,0.42105263157894735,12
hist_gb,environmental_only,1,acute pancreatitis,0.48484848484848486,0.64,0.5517241379310345,25
hist_gb,environmental_only,1,parvovirus enteritis,0.5,0.25,0.3333333333333333,8
hist_gb,environmental_only,2,acute flare-up of triaditis/chronic enteropathy,0.1875,0.16666666666666666,0.17647058823529413,18
