block,pc,rank,feature,loading_signed,loading_abs
combined,PC3,10,wind_direction_10m_dominant__day1,-0.233302711634509,0.233302711634509
combined,PC3,11,wind_direction_10m_dominant__peak_7d,-0.2046368571218407,0.2046368571218407
combined,PC3,12,wind_direction_10m_dominant__peak_14d,-0.15985370086423537,0.15985370086423537
combined,PC3,13,precipitation_sum__peak_14d,-0.14735638918152608,0.14735638918152608
combined,PC3,14,wind_gusts_10m_max__mean_7d,-0.13562122482202782,0.13562122482202782
combined,PC3,15,precipitation_sum__mean_13d,-0.12914525698771526,0.12914525698771526
combined,PC3,16,wind_gusts_10m_max__mean_13d,-0.12198559651188134,0.12198559651188134
combined,PC3,17,precipitation_sum__mean_7d,-0.11218688887930064,0.11218688887930064
combined,PC3,18,wind_gusts_10m_max__peak_14d,-0.08568609482460406,0.08568609482460406
combined,PC3,19,wind_gusts_10m_max__day1,-0.07707063757409202,0.07707063757409202
combined,PC3,20,precipitation_sum__day1,-0.07229126020924197,0.07229126020924197
combined,PC4,1,wind_gusts_10m_max__mean_7d,0.3262248417968694,0.3262248417968694
combined,PC4,2,wind_gusts_10m_max__day1,0.31382219475637285,0.31382219475637285
combined,PC4,3,precipitation_sum__peak_14d,-0.3088074681100675,0.3088074681100675
combined,PC4,4,wind_gusts_10m_max__mean_13d,0.2566928386331519,0.2566928386331519
combined,PC4,5,precipitation_sum__mean_13d,-0.24783406803387947,0.24783406803387947
combined,PC4,6,wind_gusts_10m_max__peak_14d,0.2406840424868475,0.2406840424868475
combined,PC4,7,precipitation_hours__peak_14d,-0.22070651518104545,0.22070651518104545
combined,PC4,8,BUN concentration,0.19940423126454804,0.19940423126454804
combined,PC4,9,precipitation_hours__day1,0.18390842208147046,0.18390842208147046
combined,PC4,10,wind_direction_10m_dominant__peak_7d,-0.1750582604999047,0.1750582604999047
combined,PC4,11,leukocyte count,0.16690342788941545,0.16690342788941545
combined,PC4,12,precipitation_sum__day1,0.1654578343946653,0.1654578343946653
combined,PC4,13,neutrophil count (x 10^9/L),0.15941703553293687,0.15941703553293687
combined,PC4,14,Initial total protein concentration (in g/l),0.15244998467609128,0.15244998467609128
combined,PC4,15,CREA concentration ,0.14982581668298872,0.14982581668298872
combined,PC4,16,Cl value,-0.1415836150148704,0.1415836150148704
combined,PC4,17,wind_direction_10m_dominant__peak_14d,-0.1370923815128633,0.1370923815128633
combined,PC4,18,precipitation_hours__mean_2d,0.13697572715000855,0.13697572715000855
combined,PC4,19,precipitation_sum__mean_7d,-0.13577577708921454,0.13577577708921454
combined,PC4,20,precipitation_hours__mean_13d,-0.1338870179579115,0.1338870179579115
combined,PC5,1,leukocyte count,0.3429938797414584,0.3429938797414584
combined,PC5,2,neutrophil count (x 10^9/L),0.33216940665875133,0.33216940665875133
combined,PC5,3,Albumin concentration (in g/l),0.27745102588809517,0.27745102588809517
combined,PC5,4,Cl value,-0.2680918847252734,0.2680918847252734
combined,PC5,5,Initial total protein concentration (in g/l),0.25737996729707224,0.25737996729707224
combined,PC5,6,wind_gusts_10m_max__peak_14d,-0.2513725894295091,0.2513725894295091
combined,PC5,7,wind_gusts_10m_max__mean_13d,-0.21471752515261452,0.21471752515261452
combined,PC5,8,wind_direction_10m_dominant__peak_14d,0.18904668917060558,0.18904668917060558
combined,PC5,9,wind_gusts_10m_max__mean_7d,-0.18867990861062847,0.18867990861062847
combined,PC5,10,wind_direction_10m_dominant__peak_7d,0.17729317053523933,0.17729317053523933
combined,PC5,11,Na value,-0.1723614725347318,0.1723614725347318
combined,PC5,12,daylight_duration__day1,0.16918296856701134,0.16918296856701134
combined,PC5,13,BUN concentration,0.165326092208278,0.165326092208278
combined,PC5,14,wind_gusts_10m_max__day1,-0.16141522544337364,0.16141522544337364
combined,PC5,15,lymphocyte count,0.15581489427996204,0.15581489427996204
combined,PC5,16,body weight,0.15511395436492803,0.15511395436492803
combined,PC5,17,apparent_temperature_max__day1,0.14877874209316833,0.14877874209316833
combined,PC5,18,moon_phase_cos,0.12824482989424857,0.12824482989424857
combined,PC5,19,CREA concentration ,0.12629241699856916,0.12629241699856916
combined,PC5,20,precipitation_sum__day1,0.10721150644571181,0.10721150644571181
combined,PC6,1,wind_direction_10m_dominant__mean_13d,0.36647480014139894,0.36647480014139894
combined,PC6,2,wind_direction_10m_dominant__mean_7d,0.34261721020839164,0.34261721020839164
combined,PC6,3,surface_pressure_max__day1,0.285788241336333,0.285788241336333
combined,PC6,4,precipitation_sum__day1,-0.2817106466272897,0.2817106466272897
combined,PC6,5,precipitation_sum__mean_2d,-0.2707618706366612,0.2707618706366612
combined,PC6,6,wind_direction_10m_dominant__peak_7d,0.24295924476884212,0.24295924476884212
combined,PC6,7,precipitation_hours__day1,-0.19404153207801256,0.19404153207801256
combined,PC6,8,wind_gusts_10m_max__peak_14d,0.19252179667438368,0.19252179667438368
combined,PC6,9,surface_pressure_max__mean_13d,0.1924723606195736,0.1924723606195736
combined,PC6,10,wind_direction_10m_dominant__peak_14d,0.1686046134150172,0.1686046134150172
combined,PC6,11,wind_gusts_10m_max__mean_13d,0.16382043866318147,0.16382043866318147
combined,PC6,12,apparent_temperature_max__day1,-0.1589591956247028,0.1589591956247028
combined,PC6,13,snowfall_sum__mean_13d,0.15302758924275878,0.15302758924275878
combined,PC6,14,wind_direction_10m_dominant__day1,0.1460712444189591,0.1460712444189591
combined,PC6,15,snowfall_sum__mean_3d,0.14272975481199654,0.14272975481199654
combined,PC6,16,precipitation_hours__mean_2d,-0.14076434941154067,0.14076434941154067
combined,PC6,17,daylight_duration__day1,-0.14026336635321318,0.14026336635321318
combined,PC6,18,snowfall_sum__mean_7d,0.13667647292578403,0.13667647292578403
combined,PC6,19,altitude (MASL),-0.1297315389035611,0.1297315389035611
combined,PC6,20,precipitation_sum__mean_7d,-0.1293164712088409,0.1293164712088409
combined,PC7,1,surface_pressure_max__mean_13d,0.3597658154629307,0.3597658154629307
combined,PC7,2,altitude (MASL),-0.35007420057214667,0.35007420057214667
combined,PC7,3,surface_pressure_max__day1,0.2553881462188909,0.2553881462188909
combined,PC7,4,precipitation_sum__day1,0.24416084838114727,0.24416084838114727
combined,PC7,5,precipitation_hours__day1,0.2412399040688623,0.2412399040688623
combined,PC7,6,leukocyte count,-0.23348393738308448,0.23348393738308448
combined,PC7,7,precipitation_sum__mean_2d,0.22225883986674258,0.22225883986674258
combined,PC7,8,Na value,0.2152303116521363,0.2152303116521363
combined,PC7,9,precipitation_hours__mean_2d,0.21068302606465542,0.21068302606465542
combined,PC7,10,Cl value,0.2047341325883152,0.2047341325883152
combined,PC7,11,neutrophil count (x 10^9/L),-0.20062886755448447,0.20062886755448447
combined,PC7,12,initial hematocrit,0.19060364563368212,0.19060364563368212
combined,PC7,13,BUN concentration,-0.17498260312030187,0.17498260312030187
combined,PC7,14,body weight__missing,0.16696839027800883,0.16696839027800883
combined,PC7,15,wind_direction_10m_dominant__peak_14d,0.12916755470728913,0.12916755470728913
combined,PC7,16,body weight,0.12517431772330612,0.12517431772330612
combined,PC7,17,wind_direction_10m_dominant__peak_7d,0.12339319064103216,0.12339319064103216
combined,PC7,18,lymphocyte count,-0.12059209825353394,0.12059209825353394
combined,PC7,19,snowfall_sum__mean_2d,0.11156084391578937,0.11156084391578937
combined,PC7,20,snowfall_sum__day1,0.10925032109331569,0.10925032109331569
combined,PC8,1,wind_direction_10m_dominant__peak_14d,0.2724309611183403,0.2724309611183403
combined,PC8,2,Albumin concentration (in g/l),-0.25332847990812163,0.25332847990812163
combined,PC8,3,precipitation_sum__peak_14d,-0.23773940111829306,0.23773940111829306
combined,PC8,4,precipitation_hours__peak_14d,-0.22571435193184425,0.22571435193184425
combined,PC8,5,surface_pressure_max__mean_13d,-0.22495996746576022,0.22495996746576022
combined,PC8,6,wind_direction_10m_dominant__peak_7d,0.21585609951712176,0.21585609951712176
combined,PC8,7,precipitation_sum__mean_13d,-0.20853378821740187,0.20853378821740187
combined,PC8,8,surface_pressure_max__day1,-0.20779267083531183,0.20779267083531183
