disease,perm_idx,perm_mean_auc
acute gastroenteritis,7,0.5534704626291262
acute gastroenteritis,8,0.5595145168064148
acute gastroenteritis,9,0.5128044106092137
acute gastroenteritis,10,0.484521846440005
acute gastroenteritis,11,0.494124151811229
acute gastroenteritis,12,0.5549970882832518
acute gastroenteritis,13,0.5920857544208273
acute gastroenteritis,14,0.5397581530365965
acute gastroenteritis,15,0.5984887820964678
acute gastroenteritis,16,0.5690048625976744
acute gastroenteritis,17,0.43946501143124783
acute gastroenteritis,18,0.44714110630987863
acute gastroenteritis,19,0.5456771293549408
acute gastroenteritis,20,0.5289866250928814
acute gastroenteritis,21,0.4481000841568886
acute gastroenteritis,22,0.46234311184791366
acute gastroenteritis,23,0.5813660747317795
acute gastroenteritis,24,0.5138130044558616
acute gastroenteritis,25,0.5544075242014394
acute gastroenteritis,26,0.43411415179609253
acute gastroenteritis,27,0.492860239533709
acute gastroenteritis,28,0.41634309841404005
acute gastroenteritis,29,0.5114291329585446
acute gastroenteritis,30,0.4979249558796598
acute gastroenteritis,31,0.4974394452507661
acute gastroenteritis,32,0.4925596990610467
acute gastroenteritis,33,0.34703587120466917
acute gastroenteritis,34,0.49522044055717523
acute gastroenteritis,35,0.5432582359543143
acute gastroenteritis,36,0.4029179757157929
acute gastroenteritis,37,0.504879182426398
acute gastroenteritis,38,0.5141834005880901
acute gastroenteritis,39,0.4271892390740952
acute gastroenteritis,40,0.5007962099628767
acute gastroenteritis,41,0.5140271819683585
acute gastroenteritis,42,0.48904581903769007
acute gastroenteritis,43,0.5821211224341081
acute gastroenteritis,44,0.3970960613563277
acute gastroenteritis,45,0.4190624679874279
acute gastroenteritis,46,0.5321508282325275
acute gastroenteritis,47,0.543177952228239
acute gastroenteritis,48,0.5193497413892151
acute gastroenteritis,49,0.4828185703185703
acute gastroenteritis,50,0.5538369079087936
acute gastroenteritis,51,0.5239599970260348
acute gastroenteritis,52,0.4870469280367099
acute gastroenteritis,53,0.6160072106111087
acute gastroenteritis,54,0.5623394102757622
acute gastroenteritis,55,0.4754611360336984
