model,feature_block,class_label,n_folds,precision_mean,precision_std,precision_mean_pm_std,recall_mean,recall_std,recall_mean_pm_std,f1_mean,f1_std,f1_mean_pm_std,support_mean,support_std
hist_gb,environmental_only,acute pancreatitis,5,0.40341759134862587,0.0594374048882163,0.4034 ± 0.0594,0.4583333333333333,0.12442088070559361,0.4583 ± 0.1244,0.4277375342324,0.08811695422569946,0.4277 ± 0.0881,24.8,0.4472135954999579
hist_gb,environmental_only,parvovirus enteritis,5,0.3411111111111111,0.11314799660534193,0.3411 ± 0.1131,0.24166666666666664,0.07453559924999298,0.2417 ± 0.0745,0.27526395173453994,0.07277819451894564,0.2753 ± 0.0728,8.2,0.4472135954999579
logistic_ovr,clinical_only,acute flare-up of triaditis/chronic enteropathy,5,0.41834586466165413,0.10685473147285848,0.4183 ± 0.1069,0.37777777777777777,0.12668615834434868,0.3778 ± 0.1267,0.3917398976222506,0.1120520818708869,0.3917 ± 0.1121,18.0,0.0
logistic_ovr,clinical_only,acute gastroenteritis,5,0.5282081807081808,0.08064230709746152,0.5282 ± 0.0806,0.6666666666666667,0.11785113019775792,0.6667 ± 0.1179,0.5874985754985755,0.0872108913141142,0.5875 ± 0.0872,12.0,0.0
logistic_ovr,clinical_only,acute pancreatitis,5,0.581444014075593,0.046299435209027115,0.5814 ± 0.0463,0.548,0.12930583900195688,0.5480 ± 0.1293,0.5608495633434107,0.08743419062672483,0.5608 ± 0.0874,24.8,0.4472135954999579
logistic_ovr,clinical_only,parvovirus enteritis,5,0.8130952380952381,0.06918090583698876,0.8131 ± 0.0692,0.8027777777777778,0.11427779128180118,0.8028 ± 0.1143,0.8018337510442773,0.06168834149808546,0.8018 ± 0.0617,8.2,0.4472135954999579
logistic_ovr,combined,acute flare-up of triaditis/chronic enteropathy,5,0.3916755793226382,0.058785084395730054,0.3917 ± 0.0588,0.3555555555555555,0.06334307917217433,0.3556 ± 0.0633,0.3693939393939394,0.0502834863792774,0.3694 ± 0.0503,18.0,0.0
logistic_ovr,combined,acute gastroenteritis,5,0.5647237076648841,0.06436197851126255,0.5647 ± 0.0644,0.6,0.06972166887783961,0.6000 ± 0.0697,0.5763600522970839,0.02701754828854636,0.5764 ± 0.0270,12.0,0.0
logistic_ovr,combined,acute pancreatitis,5,0.5255066910988949,0.08719971500188713,0.5255 ± 0.0872,0.5313333333333333,0.12045284923524593,0.5313 ± 0.1205,0.526950354609929,0.09880994260858546,0.5270 ± 0.0988,24.8,0.4472135954999579
logistic_ovr,combined,parvovirus enteritis,5,0.8228571428571427,0.12641041031787967,0.8229 ± 0.1264,0.8305555555555555,0.10776202634039346,0.8306 ± 0.1078,0.8229239766081872,0.10229272128360392,0.8229 ± 0.1023,8.2,0.4472135954999579
