model,feature_block,class_label,n_folds,precision_mean,precision_std,precision_mean_pm_std,recall_mean,recall_std,recall_mean_pm_std,f1_mean,f1_std,f1_mean_pm_std,support_mean,support_std
logistic_ovr,combined,acute pancreatitis,5,0.5513664596273291,0.09849488213796681,0.5514 ± 0.0985,0.5393333333333332,0.12410568972542001,0.5393 ± 0.1241,0.5438925348646431,0.1065715277224579,0.5439 ± 0.1066,24.8,0.4472135954999579
logistic_ovr,combined,parvovirus enteritis,5,0.832857142857143,0.11579362359519683,0.8329 ± 0.1158,0.825,0.11180339887498948,0.8250 ± 0.1118,0.8255555555555556,0.09965991553996068,0.8256 ± 0.0997,8.2,0.4472135954999579
logistic_ovr,environmental_only,acute flare-up of triaditis/chronic enteropathy,5,0.35064935064935066,0.08938896037620912,0.3506 ± 0.0894,0.2934640522875817,0.08059382749655092,0.2935 ± 0.0806,0.3099343185550082,0.048455234560835156,0.3099 ± 0.0485,17.8,0.4472135954999579
logistic_ovr,environmental_only,acute gastroenteritis,5,0.28799270904534063,0.10596729282128206,0.2880 ± 0.1060,0.35,0.06972166887783963,0.3500 ± 0.0697,0.31021346719721443,0.079595814037037,0.3102 ± 0.0796,12.0,0.0
logistic_ovr,environmental_only,acute pancreatitis,5,0.3645085110967464,0.06676583945096012,0.3645 ± 0.0668,0.3393333333333334,0.15319559030497218,0.3393 ± 0.1532,0.3447192807192807,0.11163803475621391,0.3447 ± 0.1116,24.8,0.4472135954999579
logistic_ovr,environmental_only,parvovirus enteritis,5,0.347024087024087,0.06859764902355034,0.3470 ± 0.0686,0.3861111111111111,0.16591264621131058,0.3861 ± 0.1659,0.3512149357350596,0.11747037506195637,0.3512 ± 0.1175,8.2,0.4472135954999579
random_forest,clinical_only,acute flare-up of triaditis/chronic enteropathy,5,0.4057142857142857,0.20350249459434755,0.4057 ± 0.2035,0.15751633986928107,0.026286375885215957,0.1575 ± 0.0263,0.22061627261627265,0.04356658416534549,0.2206 ± 0.0436,17.8,0.4472135954999579
random_forest,clinical_only,acute gastroenteritis,5,0.522077922077922,0.12300010901352286,0.5221 ± 0.1230,0.5000000000000001,0.10206207261596578,0.5000 ± 0.1021,0.5096989966555185,0.10984980253311653,0.5097 ± 0.1098,12.0,0.0
random_forest,clinical_only,acute pancreatitis,5,0.4926850385386971,0.03606717516138391,0.4927 ± 0.0361,0.7253333333333334,0.11258576977378427,0.7253 ± 0.1126,0.5855744878538566,0.05916244086409649,0.5856 ± 0.0592,24.8,0.4472135954999579
random_forest,clinical_only,parvovirus enteritis,5,0.7739682539682539,0.08607800548613244,0.7740 ± 0.0861,0.6583333333333333,0.20497289793748072,0.6583 ± 0.2050,0.7010558069381598,0.13665857563046102,0.7011 ± 0.1367,8.2,0.4472135954999579
random_forest,combined,acute flare-up of triaditis/chronic enteropathy,5,0.40714285714285714,0.0931314629314664,0.4071 ± 0.0931,0.14640522875816991,0.05096363056109262,0.1464 ± 0.0510,0.21418181818181817,0.06909270332598488,0.2142 ± 0.0691,17.8,0.4472135954999579
random_forest,combined,acute gastroenteritis,5,0.5973737373737373,0.15844038879126274,0.5974 ± 0.1584,0.5000000000000001,0.10206207261596578,0.5000 ± 0.1021,0.5436100131752306,0.1250592441204136,0.5436 ± 0.1251,12.0,0.0
random_forest,combined,acute pancreatitis,5,0.5224588002636783,0.009972919521284736,0.5225 ± 0.0100,0.8390000000000001,0.04801041553663121,0.8390 ± 0.0480,0.6436674749981202,0.0205745588134907,0.6437 ± 0.0206,24.8,0.4472135954999579
random_forest,combined,parvovirus enteritis,5,0.861111111111111,0.0921284663987611,0.8611 ± 0.0921,0.6833333333333333,0.1877313387678135,0.6833 ± 0.1877,0.7484593837535014,0.10951986925792752,0.7485 ± 0.1095,8.2,0.4472135954999579
random_forest,environmental_only,acute flare-up of triaditis/chronic enteropathy,5,0.3054723707664884,0.07776433046548809,0.3055 ± 0.0778,0.24705882352941172,0.08359244606781258,0.2471 ± 0.0836,0.2708866995073892,0.07737370225581608,0.2709 ± 0.0774,17.8,0.4472135954999579
random_forest,environmental_only,acute gastroenteritis,5,0.32575757575757575,0.051311428727818444,0.3258 ± 0.0513,0.2333333333333333,0.0372677996249965,0.2333 ± 0.0373,0.268792270531401,0.03256590500690502,0.2688 ± 0.0326,12.0,0.0
random_forest,environmental_only,acute pancreatitis,5,0.39151637835848363,0.02766696625563716,0.3915 ± 0.0277,0.5233333333333333,0.07386173268720113,0.5233 ± 0.0739,0.44528256704980845,0.03068523068122581,0.4453 ± 0.0307,24.8,0.4472135954999579
random_forest,environmental_only,parvovirus enteritis,5,0.379047619047619,0.043330716823151726,0.3790 ± 0.0433,0.29166666666666663,0.13819269959814168,0.2917 ± 0.1382,0.31893384393384394,0.09864955737274614,0.3189 ± 0.0986,8.2,0.4472135954999579
