disease,feature_block,rank_within_group,feature,mean_abs_shap,std_abs_shap
parvovirus enteritis,combined,15,num__BUN concentration,0.22755157189669814,0.21888623201365598
parvovirus enteritis,combined,16,num__moon_phase_sin,0.21564838902200564,0.11004559661019622
parvovirus enteritis,combined,17,num__wind_direction_10m_dominant__day1,0.2136005354255611,0.19597634947518225
parvovirus enteritis,combined,18,num__initial hematocrit,0.19475229468925387,0.137079601649117
parvovirus enteritis,combined,19,num__precipitation_sum__mean_2d,0.18911613016453488,0.20446965730786712
parvovirus enteritis,combined,20,num__wind_gusts_10m_max__mean_7d,0.1843711224032673,0.0996924388072141
parvovirus enteritis,environmental_only,1,num__daylight_duration__day1,1.3639388072575982,0.5525212335325713
parvovirus enteritis,environmental_only,2,num__wind_direction_10m_dominant__peak_7d,1.1847780970975812,0.43125894955864563
parvovirus enteritis,environmental_only,3,num__precipitation_sum__mean_13d,1.0363730281772274,0.22026871403788179
parvovirus enteritis,environmental_only,4,num__precipitation_sum__mean_2d,0.9784093903790005,0.28373257274200486
parvovirus enteritis,environmental_only,5,num__precipitation_sum__mean_7d,0.8106894286096246,0.15030807669559149
parvovirus enteritis,environmental_only,6,num__surface_pressure_max__day1,0.7902380912555368,0.42814036121448285
parvovirus enteritis,environmental_only,7,num__wind_direction_10m_dominant__mean_7d,0.7165343658217126,0.2615787649560895
parvovirus enteritis,environmental_only,8,num__precipitation_sum__day1,0.6662830181637046,0.1819275095428595
parvovirus enteritis,environmental_only,9,num__wind_direction_10m_dominant__peak_14d,0.6633715705005364,0.13517979198502822
parvovirus enteritis,environmental_only,10,num__wind_gusts_10m_max__day1,0.6467450829967023,0.16828042367887525
parvovirus enteritis,environmental_only,11,num__wind_direction_10m_dominant__day1,0.5893711038343359,0.39291890956391545
parvovirus enteritis,environmental_only,12,num__surface_pressure_max__mean_13d,0.5856201108994451,0.20955723946465107
parvovirus enteritis,environmental_only,13,num__wind_direction_10m_dominant__mean_13d,0.5490174171759851,0.46419508123195746
parvovirus enteritis,environmental_only,14,num__precipitation_hours__peak_14d,0.5221392160349477,0.28277527674337766
parvovirus enteritis,environmental_only,15,num__precipitation_sum__peak_14d,0.512223475784498,0.3149819113525114
parvovirus enteritis,environmental_only,16,num__wind_gusts_10m_max__mean_13d,0.4834117892041605,0.15754247122157988
parvovirus enteritis,environmental_only,17,num__apparent_temperature_max__day1,0.4464426510410301,0.21811822843153597
parvovirus enteritis,environmental_only,18,num__precipitation_hours__mean_13d,0.44050746722062073,0.09498600458990035
parvovirus enteritis,environmental_only,19,num__wind_gusts_10m_max__peak_14d,0.4290509937430354,0.17083995778103536
parvovirus enteritis,environmental_only,20,num__moon_phase_sin,0.40937696298391957,0.19267855803006664
